Code,CARRIER,MONTH,DAY_OF_WEEK,DISTANCE,DEP_DELAY,AIR_TIME,NUMBER_OF_FLIGHTS,TAXI_IN,ARR_DELAY,TAXI_OUT
AA,American Airlines Inc.,1,1,1004.0,9.0,136.0,9804,9.0,4.0,18.0
AA,American Airlines Inc.,1,2,963.0,5.0,132.0,9369,8.0,-0.0,18.0
AA,American Airlines Inc.,1,3,962.0,4.0,132.0,9964,9.0,-1.0,18.0
AA,American Airlines Inc.,1,4,978.0,6.0,134.0,10148,9.0,1.0,18.0
AA,American Airlines Inc.,1,5,1005.0,7.0,137.0,11831,9.0,2.0,18.0
AA,American Airlines Inc.,1,6,1057.0,9.0,142.0,10020,8.0,3.0,17.0
AA,American Airlines Inc.,1,7,1027.0,10.0,139.0,11600,9.0,5.0,18.0
AA,American Airlines Inc.,2,1,993.0,7.0,135.0,12290,9.0,3.0,19.0
AA,American Airlines Inc.,2,2,972.0,7.0,133.0,9565,9.0,4.0,19.0
AA,American Airlines Inc.,2,3,973.0,7.0,134.0,9782,9.0,4.0,19.0
AA,American Airlines Inc.,2,4,987.0,4.0,134.0,10203,8.0,-1.0,18.0
AA,American Airlines Inc.,2,5,996.0,7.0,135.0,10205,9.0,2.0,19.0
AA,American Airlines Inc.,2,6,1055.0,3.0,141.0,8626,9.0,-6.0,16.0
AA,American Airlines Inc.,2,7,1022.0,5.0,138.0,9629,9.0,-1.0,17.0
AA,American Airlines Inc.,3,1,1001.0,8.0,136.0,10319,9.0,4.0,19.0
AA,American Airlines Inc.,3,2,986.0,7.0,135.0,12627,9.0,3.0,18.0
AA,American Airlines Inc.,3,3,989.0,7.0,136.0,12711,9.0,3.0,18.0
AA,American Airlines Inc.,3,4,1009.0,8.0,138.0,13035,9.0,6.0,19.0
AA,American Airlines Inc.,3,5,1013.0,8.0,138.0,10530,9.0,5.0,19.0
AA,American Airlines Inc.,3,6,1081.0,7.0,145.0,9016,9.0,1.0,17.0
AA,American Airlines Inc.,3,7,1038.0,7.0,140.0,10276,9.0,2.0,17.0
AA,American Airlines Inc.,4,1,998.0,5.0,135.0,10216,9.0,1.0,18.0
AA,American Airlines Inc.,4,2,984.0,2.0,134.0,10057,9.0,-2.0,18.0
AA,American Airlines Inc.,4,3,989.0,2.0,135.0,10163,9.0,-2.0,18.0
AA,American Airlines Inc.,4,4,1000.0,4.0,136.0,10282,9.0,1.0,19.0
AA,American Airlines Inc.,4,5,1002.0,10.0,137.0,12773,9.0,8.0,19.0
